X,Y,id,WaterBody,Town,County,Owner,Manager,AccessType,BoatSize,RampType,UniversalAccess,BulletinBoard,Exposure,Parking,Shorefishing,UseVolume,Dock,WinterPlowing,SummerPortolet,WinterPortolet,TempPortolet,AccessName,Bowfin,Carp,ChannelCatfish,WhiteCrappie,LongnoseGar,Muskellunge,WhitePerch,AmericanShad,Sheepshead,LakeWhitefish,BrookTrout,BrownTrout,RainbowTrout,LakeTrout,LandlockedSalmon,RainbowSmelt,YellowPerch,Walleye,NorthernPike,ChainPickerel,LargemouthBass,SmallmouthBass,Bullhead,Panfish,BlackCrappie,Burbot,Directions,CoordX,CoordY,LakeArea,MaximumDepth,ESRI_OID
-73.3136,44.9139,44,Lake Champlain,Alburg,Grand Isle,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,"West, South",Medium,All Year,Light,No,Yes,No,No,Yes,Horicans,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"From Interstate 89 take Exit 17 onto US Route 2 West towards the Lake Champlain Islands.  Travel 27.1 miles, crossing the bridge into Alburg, then turn LEFT onto VT Route 129 West.  Continue on VT Route 129 for 3 miles, then turn RIGHT, just before the bridge to Isle La Motte, onto West Shore Rd.  Travel North for 1/2 mile, and the Access Area will be on the LEFT.",-73.3136117,44.91387362,172800,400,40
-72.2094,44.6157,45,Horse Pond,Greensboro,Orleans,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,Spring,Light,No,No,No,No,No,Horse Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,"Take Interstate 91 to exit 25 in Barton.  Take VT Route 16 South for  8.5 miles, then turn RIGHT onto Horse Pond Rd,  and the Access Area will be on the RIGHT.",-72.2094388,44.61573944,32,4,41
-73.2107,43.7524,46,Hortonia Lake,Sudbury,Rutland,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Medium,Spring-Summer,Light,No,Yes,Yes,Yes,No,Hortonia Lake,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Take US Route 7 to Brandon.  Turn onto VT Route 73 West and drive for  5.5 miles to VT Route 30.  Turn LEFT onto VT Route 30 South and continue for  4.5 miles to Lake Hortonia Rd.  Turn RIGHT onto Lake Hortonia Rd and travel West for  1 mile to the Fishing Access Rd.  Turn LEFT onto the Fishing Access Rd and follow to the Access Area on the RIGHT.,-73.21070754,43.75237938,479,60,42
-73.2219,43.7456,47,Hortonia Lake,Hubbardton,Rutland,F&W,F&W,Boating/Fishing,Medium,Concrete Plank,No,Yes,Protected,Small,All Year,Moderate,No,Yes,Yes,Yes,No,Hortonia Lake Dam,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,"Take US Route 4 to Exit 2 in Fair Haven, and turn onto VT Route 22A North.  Travel for 8.2 miles to VT Route 144.  Turn RIGHT onto VT Route 144 East.  Travel for  3 miles and the Access Area will be on the LEFT.",-73.22192474,43.74564774,479,60,43
-72.4302,43.2606,48,Connecticut River,Springfield,Windsor,F&W,F&W,Boating/Fishing,Large,Concrete,Yes,Yes,Protected,Large,All Year,Heavy,Yes,Yes,Yes,Yes,No,Hoyts Landing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 7 in Springfield.  Take US Route 5 North for 1/2 mile, and the Access Area will be on the RIGHT, just before the bridge crossing the Connecticut River.",-72.43015776,43.26062777,0,0,44
-71.8664,44.7928,49,Island Pond,Brighton,Essex,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Northeast,Small,All Year,Moderate,No,Yes,Yes,Yes,No,Island Pond,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,"Take Interstate 91 to Exit 28 in Derby.  Take US Route 5 North for  1 mile, then turn RIGHT onto VT Route 105.  Travel East on VT Route 105 for 18 miles, then VT Route 105 becomes Derby St.  Travel East on Derby St for 1/2 mile, then turn RIGHT onto Pleasant St.  Travel South on Pleasant St for 1/4 mile, and the Access Area will be on the LEFT.",-71.86635944,44.79275681,608,63,45
-71.9522,44.7603,50,Job's Pond,Westmore,Orleans,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Northwest,Small,All Year,Light,No,No,No,No,No,Job's Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to Exit 26 in Barton.  Take US Route 5 South for 18 miles to West Burke, then turn LEFT onto VT Route 5A.  Travel North on VT Route 5A for approximately 3/4 mile, then turn RIGHT onto Newark St.  Travel North on Newark St, which becomes Abbot Hill Rd. for 9 miles, and the Access Area will be on the LEFT.",-71.95223281,44.76026419,39,18,46
-72.2183,44.4036,51,Joe's Pond,Danville,Caledonia,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,North,Small,All Year,Moderate,No,Yes,Yes,Yes,No,Joe's Pond,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 21 in St. Johnsbury.  Take US Route 2 West for 10 miles, then turn RIGHT onto Fitts Rd and continue to the Access Area at the end.",-72.21832,44.403617,396,78,47
-72.1807,44.9961,52,Lake Memphremagog,Derby,Orleans,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Johns River,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Take Interstate 91 to Exit 28 in Derby.  Take US Route 5 South for 1/2  mile, then turn RIGHT onto Shattuck Hill Rd.  Travel West on Shattuck Hill Rd for  1 mile, then turn RIGHT onto Darling Hill Rd.  Travel North on Darling Hill Rd. until the road forks.  Veer LEFT at the fork onto North Derby Rd.  Travel 1.7 miles and the Access Area will be on the LEFT.",-72.18073804,44.99612814,6317,351,48
-73.3205,44.6678,53,Lake Champlain,South Hero,Grand Isle,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,All Year,Light,No,Yes,Yes,Yes,No,Keeler Bay,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take Interstate 89 to Exit 17 and turn onto US Route 2 West towards the Lake Champlain Islands.  Travel West for 12 miles, going through the town of South Hero.  The Access Area will be on the RIGHT, shortly after the town.",-73.32053,44.667811,172800,400,49
-73.3317,44.9989,54,Lake Champlain,Alburg,Grand Isle,F&W,F&W,Boating/Fishing,Medium,Concrete Plank,No,Yes,West,Medium,All Year,Moderate,No,Yes,Yes,Yes,No,Kelly Bay,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"From Interstate 89 take Exit 17 onto US Route 2 West towards the Lake Champlain Islands.  Continue on US Route 2 West for  34.8 miles to Alburg Village.  Proceed through Alburg Village, and continue on US Route 2 West for 3.1 miles until you reach the bridge to Rouses Point, NY.  The Access Area will be on the LEFT just before crossing the bridge.",-73.33169,44.998866,172800,400,50
-72.8079,43.6748,55,Kent Pond,Killington,Rutland,F&W,F&W,Boating/Fishing,Small,Concrete Plank,No,Yes,Protected,Large,Spring-Summer,Light,No,No,No,No,No,Kent Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,"Take US Route 4 to Killington, then turn North onto VT Route 100.  Travel North on VT Route 100 for1/2 mile, and the Access Area will be on the RIGHT.",-72.80794281,43.67480656,71,15,51
-72.1707,44.3846,56,Keiser Pond,Peacham,Caledonia,F&W,F&W,Boating/Fishing,Small,Concrete Plank,No,No,Protected,Small,Spring,Light,No,No,No,No,No,Keiser Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,"Take Interstate 91 to Exit 21 in St. Johnsbury.  Turn onto US Route 2 West and travel for 10 miles, then turn LEFT onto Keiser Pond Rd.  Travel South on Keiser Pond Rd for 2.5 miles, and the Access Area will be on the LEFT.",-72.17072459,44.3846477,33,20,52
-73.2506,44.8698,57,Lake Champlain,North Hero,Grand Isle,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Northeast,Medium,All Year,Moderate,Yes,Yes,Yes,Yes,No,Kings Bay,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take Interstate 89 to Exit 17 in Colchester.  Turn onto US Route 2 West towards the Lake Champlain Islands.  Continue on US Route 2 West for  25 miles, through the town of North Hero, then turn RIGHT onto Lakeview Dr.  Travel North on Lakeview Drive for 1/2 mile, and the Access Area will be on the RIGHT.",-73.25061107,44.8697732,172800,400,53
-72.5621,43.4454,58,Knapp Pond #1,Cavendish,Windsor,F&W,F&W,Boating/Fishing,Small,Concrete Plank,Yes,Yes,Protected,Large,Trout Season Only,Moderate,No,No,No,No,No,Knapp Pond 1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to Exit 8 in Weathersfield.  Off the Exit take VT Route 131 West for 6.5 miles, then turn RIGHT onto VT Route 106.  Travel North on VT Route 106 for 3.5 miles, then turn LEFT onto Knapp Brook Rd.  Travel West on Knapp Brook Rd, which becomes Felchvilled Gulf Rd, for  1 mile, then turn RIGHT onto Knapp Pond Rd.  Travel west on Knapp Pond Rd for 1.5 miles, and the Access Area will be on the RIGHT.",-72.562106,43.445372,25,12,54
-72.5661,43.4459,59,Knapp Pond #2,Cavendish,Windsor,F&W,F&W,Boating/Fishing,Small,Concrete Plank,No,Yes,Protected,Medium,Trout Season Only,Light,No,No,No,No,No,Knapp Pond 2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to exit 8 in Weathersfield.  Off the Exit take VT Route 131 west for 6.5 miles, then turn RIGHT onto VT Route 106.  Travel North on VT Route 106 for  3.5 miles, then turn RIGHT onto VT Route 106.  Travel North on VT Route 106 for 3.5 miles, then turn LEFT onto Knapp Brook Rd.  Travel West on Knapp Brook Rd, which becomes Felchville Gulf Rd, for 1 mile, then turn RIGHT onto Knapp Pond Rd.  Travel West on Knapp Pond Rd for approximately 1.5 miles and the Access Area will be on the RIGHT.",-72.566078,43.445915,35,20,55
-73.0855,43.9071,60,Lake Dunmore,Salisbury,Addison,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Protected,Large,Spring,Heavy,Yes,Yes,Yes,Yes,No,Magoon,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Salisbury, then turn East onto VT Route 53/Lake Dunmore Rd.  Travel East on Lake Dunmore Rd for 1.5 miles, then turn right onto West Shore Rd.  Travel South on West Shore Rd for  6 miles and the Access Area will be on the LEFT.",-73.08545646,43.90709976,1037,105,56
-72.4959,44.7288,61,Lake Eden,Eden,Lamoille,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,South,Small,All Year,Light,No,No,No,No,No,Lake Eden,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 26 in Orleans.  Off the Exit follow US Route 5 North, then immediately turn LEFT onto VT Route 58 West.  Travel West for 12.8 miles, then  Turn LEFT onto VT Route 100 South, and continue for 7 miles to the Access Area on the LEFT.",-72.49588277,44.72880622,186,40,57
-72.358,44.6036,62,Lake Eligo,Greensboro,Orleans,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,North,Medium,All Year,Moderate,No,Yes,No,No,No,Lake Elligo,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,"Take Interstate 91 to Exit 27 in Orleans.  Off the Exit follow US Route 5 North, then immediately turn LEFT onto VT Route 58 West.  Travel West for  3.3 miles to Irasburg, then turn LEFT onto VT Route 14 South.  Travel South on VT Route 14 for 18 miles and the Access Area will be on the LEFT.",-72.35795513,44.60364523,190,100,58
-72.5213,44.527,63,Lake Elmore,Elmore,Lamoille,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,North,Medium,All Year,Moderate,No,Yes,No,No,No,Vaughn M. Douglass,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,"Take Interstate 89 to Exit 10 for Waterbury/Stowe.  Off the Exit follow VT Route 100 North towards Stowe.  Travel for 18.4 miles to the town of Morrisville.  In Morrisville turn RIGHT onto VT Route 12 South/Elmore Rd. Travel South for  4.5 miles, and the Access Area will be on the RIGHTat the south end of the lake.",-72.52129896,44.52698928,224,17,59
-72.2269,43.8905,64,Lake Fairlee,West Fairlee,Orange,F&W,F&W,Boating/Fishing,Medium,Concrete Plank,No,Yes,Northeast,Medium,All Year,Heavy,No,Yes,Yes,Yes,No,Lake Fairlee,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 15 for Fairlee.  Off the Exit take Lake Morey Rd to US Route 5 South, then travel for 2.4 miles to VT Route 244.  Turn RIGHT onto VT Route 244 West and travel for 4 miles to the Access Area on the LEFT.",-72.2268566,43.89051079,457,50,60
-73.0902,44.3771,65,Lake Iroquois,Williston,Chittenden,F&W,F&W,Boating/Fishing,Medium,Concrete Plank,No,Yes,Protected,Medium,All Year,Moderate,Yes,Yes,Yes,No,No,Lake Iroquois,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 89 to Exit 12 in Williston.  Off the Exit, take VT Route 2A South for 2.5 miles, then turn LEFT onto Butternut Rd.  Travel East on Butternut RD for 2 miles, then turn RIGHT onto Oak Hill Rd.  Travel South on Oak Hill Rd for  2 miles, then turn LEFT onto Beebe lane, and the Access Area will be on the RIGHT.",-73.09015174,44.37707837,229,37,61
-72.1593,43.9213,66,Lake Morey,Fairlee,Orange,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Northeast,Small,All Year,Heavy,No,Yes,Yes,Yes,No,Lake Morey,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Take Interstate 91 to Exit 15 in Fairlee.  Off the Exit take Lake Morey Rd West for 1.5 miles and the Access Area will be on the RIGHT.,-72.15932407,43.92126846,547,43,62
-72.7603,43.4749,67,Lake Ninevah,Mount Holly,Rutland,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Southeast,Small,Spring,Light,No,No,Yes,No,No,Joseph Wiltshire,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take US Route 7 to Wallingford, then turn East onto VT Route 140.  Travel East for 6 miles, then turn RIGHT onto VT Route 103 South.  Travel South on VT Route 103 for  6 miles, then turn LEFT onto Sawyer Hill Rd.  Travel North on Sawyer Hill Rd, which becomes Townsend Barn Rd for 2.5 miles and the Access Area will be on the LEFT.",-72.76032392,43.47491754,171,12,63
-72.2314,44.7261,68,Lake Parker,Glover,Orleans,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,South,Medium,All Year,Light,No,Yes,Yes,No,No,Lake Parker,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 25 in Barton.  Off the Exit take VT Route 16 North for 1/2 mile, then turn LEFT onto Roaring Brook Rd.  Travel West on Roaring Brook Rd, which becomes West Glover Rd, for 2.5 miles, then turn RIGHT onto County Rd.  Travel West on County Rd for 1/4 mile, then turn LEFT onto Access Lane and continue to the Access Area.",-72.23135777,44.72613725,239,45,64
-72.8201,42.8839,69,Lake Raponda,Wilmington,Windham,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,All Year,Light,No,No,No,No,No,Lake Raponda,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"From Interstate 91 take Exit 2 for Brattleboro.  Off the Exit take VT Route 9 West for 18 miles towards the town of Wilmington.  Just East of Wilmington, after passing Molly Stark State Park, turn Right onto Lake Raponda Rd.  Travel North on Lake Raponda Rd to the Access Area at the North end of the Lake.",-72.82009472,42.88393457,116,12,65
-72.7019,43.4559,70,Lake Rescue,Ludlow,Windsor,F&W,F&W,Boating/Fishing,Medium,Concrete Plank,No,Yes,Protected,Small,All Year,Moderate,No,Yes,Yes,No,No,Lake Rescue,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take US Route 4 to West Bridgewater, the turn South onto VT Route 100.  Travel South on VT Route 100 for 8 miles, the turn LEFT onto Kingdom Rd.  Travel East for 1/2 mile, then turn RIGHT on Buzwell Pond Rd.  At the fork, veer LEFT onto E. Lake Rd, then turn RIGHT onto Ellisons Lake Rd.  Travel West on Ellisons Lake Rd for 1/2 mile, then turn LEFT onto Fishing Access Rd and continue to the Access Area.",-72.70193141,43.45594901,229,90,66
-72.8768,42.7858,71,Lake Sadawga,Whitingham,Windham,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,All Year,Moderate,No,Yes,No,No,No,Lake Sadawga,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,"From Interstate 91 take Exit 2 for Brattleboro.  Off the Exit take VT Route 9 West for 17 miles, then turn LEFT onto VT Route 100 South.  Travel South on VT Route 100 for 8.7 miles, through the town of Jacksonville, to Lake Sadawga Rd.  Turn LEFT on Lake Sadawga Rd and the Access Area will be on the RIGHT just before the road crosses the stream.",-72.87676264,42.78575238,194,10,67
-73.2043,43.4446,72,Lake Saint Catherine,Wells,Rutland,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Protected,Medium,Spring-Summer,Heavy,Yes,No,Yes,No,No,Lake Saint Catherine,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Wallingford, then turn onto VT Route 140 West.  Travel West on VT Route 140 for 8 miles, then turn LEFT onto VT Route 133 South/South St in Middletown Springs.  Travel South on VT Route 133 until you reach West Tinmouth and turn RIGHT onto Wells Rd.  Continue driving until you reach Wells, then turn RIGHT onto North St.  Travel North on North St for 1.5 miles, then turn RIGHT on South Lake Rd, followed by an immediate LEFT onto Bert's Nest Rd.  Continue to the Access Area on the RIGHT.",-73.20429941,43.4445672,883,64,68
-72.0534,44.7687,73,Lake Willoughby,Westmore,Orleans,F&W,F&W,Boating/Fishing,Medium,Gravel,No,Yes,Southwest,Small,All Year,Heavy,Yes,Yes,Yes,Yes,No,Lake Willoughby,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,"Take Interstate 91 to Exit 23 in Lyndon.  Off the Exit, head North on US Route 5 for 9.5 miles to West Burke.  In West Burke turn RIGHT onto VT Route 5A North.  Travel North for 9 miles, and the Access Area will be on the LEFT.",-72.05341337,44.76869916,1653,308,69
-72.5495,44.5674,74,Lamoille River,Morristown,Lamoille,F&W,F&W,Fishing,N/A,None,No,Yes,Protected,Small,Spring,Light,No,No,No,No,No,Rotary,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,"From Interstate 89 take Exit 10 and follow VT Route 100 North for 20 miles towards Morrisville.  At Morrisville center (four corners) continue straight on Main St for 1/4 mile, then bear LEFT onto VT Route 15A.  Continue on VT Route 15A for 2 miles to where it meets VT Route 15.  Turn RIGHT on VT Route 15 East and continue for 1.5 miles to the Access Area on the RIGHT.",-72.549541,44.567435,0,0,70
-73.3919,43.926,75,Lake Champlain,Shoreham,Addison,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,West,Large,All Year,Heavy,No,Yes,Yes,No,No,Lapham Bay,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Middlebury, then turn onto VT Route 30 South.  Travel South for 4 miles, then turn RIGHT onto VT Route 74.  Travel West on VT Route 74 for 4 miles, then turn RIGHT onto Doolittle Rd.  Travel West on Doolittle Rd for 1.5 miles, to where Doolittle Rd becomes Lapham Bay Rd.  Travel West on Lapham Bay Rd for 4 miles.  When the road tees turn RIGHT followed by a quick LEFT to the reach the Access Area.",-73.39188429,43.92596177,172800,400,71
-73.3695,43.8491,76,Lake Champlain,Shoreham,Addison,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Protected,Large,All Year,Heavy,Yes,Yes,Yes,Yes,No,Larrabees Point,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Middlebury, then take VT Route 125 West for  8.5 miles to the intersection with VT Route 22A in Bridport.  Turn LEFT onto VT 22A South and travel for 6.6 miles to VT Route 74 in Shoreham.  Turn RIGHT onto VT Route 74 West and continue for  4.7 miles to VT Route 73. Turn LEFT onto VT Route 73 East, followed soon after by a RIGHT onto Hanson Rd.  The Access Area will be on the RIGHT off of Hanson Rd.",-73.3694712,43.84912535,172800,400,72
-73.2744,44.2485,77,Lewis Creek,Ferrisburg,Addison,Lease,F&W,Boating/Fishing,Medium,Concrete Plank,No,Yes,Protected,Medium,Spring-Summer,Light,No,No,No,No,Yes,Lewis Creek,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Take US Route 7 to Ferrisburgh.  After traveling 1.4 miles north of the village turn West onto Greenbush Rd.  Continue on Greenbush Rd for  2 miles, then turn LEFT onto Long Point Rd.  Travel West on Long Point Rd for 1.5 miles to where the road forks.  Veer LEFT onto Bay Rd and continue for 0.2 miles to the Access road on the LEFT.  Follow the Access Rd for 1/4 mile to the Access Area at the end.",-73.27443924,44.24850206,0,0,73
-72.0996,44.9193,78,Little Salem Lake,Derby,Orleans,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,South,Small,Spring,Light,No,No,No,No,No,Little Salem Lake,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 28 in Derby.  Off of the Exit take US Route 5 North for 1 mile, then turn RIGHT onto VT Route 105.  Take VT Route 105 East for 2.5 miles, then turn LEFT onto Haywood Road.  Continue to the Access Area on the RIGHT.",-72.09963881,44.91925426,788,70,74
-72.0201,44.7563,80,Long Pond,Westmore,Orleans,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,South,Small,All Year,Light,No,No,Yes,No,No,Long Pond (Westmore),No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"From Interstate 91 take Exit 23 for Lyndon.  Off the Exit follow US Route 5 North for 9.5 miles to West Burke, then turn RIGHT onto VT Route 5A North.  Continue North for 3.5 miles, then turn RIGHT onto Newark Pond Rd.  Travel North on Newark Pond Rd for 1.5 miles.  At the for veer LEFT onto Long Pond Rd.  Follow Long Pond Rd North for  3.5 miles, and the Access Area will be on the LEFT.",-72.02012201,44.75628247,103,74,75
-72.0999,44.2398,81,Lower Symes Pond,Ryegate,Caledonia,F&W,F&W,Boating/Fishing,Small,Gravel,No,No,Protected,Small,"Spring, Summer, Fall",,No,No,No,No,No,Lower Symes Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,"Take Interstate 91 to Exit 18 in Barnet.  Off the Exit head East on Bimson Dr for 0.25 miles to the intersection with US Route 5.  Turn RIGHT onto US Route 5 South and travel for 1.7 miles to Garland Hill Rd. Travel under the Interstate to where the road forks and veer LEFT onto Symes Pond Rd and travel West for 2 miles to Hunt Mill Rd.  Turn RIGHT onto Hunt Mill Rd, and the Access Area will be on the RIGHT.",-72.09991543,44.23977252,57,,76
-72.2469,44.4468,82,Lyford Pond,Walden,Caledonia,F&W,F&W,Boating/Fishing,Carry-on,None,No,Yes,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Lyford Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,"From Interstate 89 take Exit 21 and follow US Route 2 West to West Danville.  In West Danville turn RIGHT onto VT Route 15 West.  Travel West for 4.5 miles, then turn LEFT onto North Pond Rd.  The Access Area will be on the LEFT.",-72.24686458,44.44675314,33,22,77
-71.649,44.6646,83,Maidstone Lake,Maidstone,Essex,Lease,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Protected,Medium,Spring,Heavy,Yes,Yes,Yes,No,No,Maidstone Lake,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,"From Interstate 89 take Exit 21 onto US Route 2 East and travel 28.5 miles, going through Lunenburg, until the intersection with VT Route 102.  Turn LEFT onto VT Route 102 North and continue for 16 miles, then turn LEFT onto Maidstone Lake Rd.  Travel West on Maidstone Lake Rd for 4 miles to reach the Access Area.",-71.64895661,44.66456607,796,121,78
-73.2316,44.5528,84,Lake Champlain,Colchester,Chittenden,F&W,F&W,Boating/Fishing,Large,Concrete,No,Yes,Protected,Large,All Year,Heavy,Yes,Yes,Yes,Yes,No,Malletts Bay,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take Interstate 89 to Exit 16 in Colchester.  Off the Exit take US Route 7/US Route 2 North to Blakely Rd. Turn LEFT onto Blakely Rd and follow to the intersection with VT Route 127/Burlington Beltline.  The Access Area will be on the RIGHT, just after the RIGHT turn for VT Route 127, and across from the Malletts Bay campground.",-73.23161717,44.55278258,172800,400,79
-72.3032,44.3631,85,Mollys Falls Reservoir,Cabot,Washington,Lease,F&W,Boating/Fishing,Medium,Concrete Plank,Yes,Yes,Protected,Large,All Year,Heavy,Yes,Yes,Yes,Yes,No,Marshfield Dam,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,"Take Interstate 89 to Exit 8 in Montpelier.  Off the Exit take US Route 2 East for 19 miles and the Access Area will be on the RIGHT, just after the Dam.",-72.30320026,44.36314246,65,18,80
